#HUR = "countries/1'sth Hundland Reanimalic.txt"
UFH = "countries/United Front.txt"

NEL = "countries/Nelevo.txt" #DEFUNKT
#ALE = "countries/Aleur.txt" #DEFUNKT
ERT = "countries/Ertoninere.txt"
TIT = "countries/Ttivinara.txt"



KIN = "countries/Kinal Reanimalic.txt"






ZAK = "countries/Zakor.txt"





QUE = "countries/Queli.txt"
LIM = "countries/Limbie.txt"
TOE = "countries/Toe.txt"
CLU = "countries/True Clusonia goverment.txt"

UAS = "countries/Uasengh.txt"
GAN = "countries/Ganil.txt"
UOE = "countries/Uoerh.txt"
NOR = "countries/Norsag.txt"
EIS = "countries/Eiseh.txt"
SIZ = "countries/Size.txt"
ISB = "countries/Isbue.txt"
FTT = "countries/Free Trade Towns.txt"
JUM = "countries/Jumeshi.txt"
NIQ = "countries/Nqinqe.txt"
IRS = "countries/Irasaf.txt"
HBI = "countries/Halmaha Birealaua.txt"
#ALL = "countries/Al.txt"
MAF = "countries/Maf.txt"
JAA = "countries/Ja.txt"
ESP = "countries/Esnic Protectorat.txt"
YAM = "countries/Yamabu.txt"
#BHU = "countries/Bhumeabasi Dominion.txt"
NIT = "countries/Nitopla Colony.txt"
YAN = "countries/Yanaha Colony.txt"
VIS = "countries/Visembr Colony.txt"

USA = "countries/United States of Free Atylands.txt"
NBV = "countries/Nbveron Dominion.txt"
PES = "countries/Pepro Sundeo.txt"
DAR = "countries/Darkness.txt"
DHA = "countries/Defence Holly Order of Atal Light.txt"
HLS = "countries/Holly Light State.txt"
OST = "countries/Order of Saint Tycuji.txt"

MUE = "countries/Muresoca.txt"
NAT = "countries/Natsatomeron.txt"
MEL = "countries/Meleriu.txt"
#ARP = "countries/Arpapnes.txt"
NOU = "countries/Nourh.txt"
NOE = "countries/Noecis.txt"
UES = "countries/Uesotrt.txt"
GAI = "countries/Gaisa.txt"
MAH = "countries/Mahretrs.txt"
NOS = "countries/Norhons.txt"
KHE = "countries/Khef.txt"
MAC = "countries/Macodrejal.txt"
PIR = "countries/Pirate Reanimaic.txt"
ING = "countries/Ingirnre.txt"
RUV = "countries/Ruvsoc.txt"
IHU = "countries/Ihuridon.txt"
LET = "countries/Letuinali.txt"
#ANR = "countries/Aniresoc.txt"
UAN = "countries/Uanotu.txt"
LUC = "countries/Lucoam.txt"
DON = "countries/Donorc.txt"
HEI = "countries/Henicoppeti.txt"
XIA = "countries/Xiawigu.txt"
DAN = "countries/Danielsec.txt"
COR = "countries/Corpessoni.txt"
DRI = "countries/Drillara.txt"
SER = "countries/Serizo.txt"
HII = "countries/Hiir.txt"
URM = "countries/Urmicalego.txt"
CTA = "countries/Ctausia.txt"
LEC = "countries/Lecagac.txt"
SEZ = "countries/Serzecoso.txt"
UTI = "countries/Utire.txt"
GNI = "countries/Gnis.txt"
QVA = "countries/Qvaruacne.txt"
FOB = "countries/Fobu.txt"
EIU = "countries/Eiiupcrseer.txt"
ORL = "countries/Orlo.txt"
TIN = "countries/Tintenui.txt"

NOH = "countries/Nohaahty Dominion.txt"
TRC = "countries/Trade Coaliton.txt"
#BRA = "countries/Brazzeza Animalic.txt"
TEL = "countries/Telignare.txt"
#ALI = "countries/Alivente.txt"
ERM = "countries/Ertemetente.txt"
MIN = "countries/Minoando.txt"
NSI = "countries/Nsidialas.txt"
RAG = "countries/Ragande.txt"

#AMY = "countries/Amyrten.txt"
RAM = "countries/Ramtten.txt"
ORA = "countries/Orak.txt"
ZUH = "countries/Zuhde kion.txt"
MIL = "countries/Milakata Unak.txt"
ZEK = "countries/Zekore.txt"
#BHD = "countries/Brotherhood of Holy Darkness.txt"
#APO = "countries/Apochem.txt"
IOU = "countries/Ioar Uratrita.txt"
ZIE = "countries/Zieru.txt"
GNG = "countries/Gangokuku Kingdom.txt"
#ANI = "countries/Anidaoil.txt"
#BUM = "countries/Bumiltt Bumiltt.txt"
JUZ = "countries/Juzim.txt"
ZCE = "countries/Zcepoli.txt"
EBU = "countries/Ebuc.txt"
KAK = "countries/Kakama.txt"
ORW = "countries/Orankuwta.txt"
ORN = "countries/Orankasi.txt"
DOR = "countries/Doramchy.txt"
KSE = "countries/Kselaor.txt"
WIM = "countries/Wil Makbaki.txt"
HAM = "countries/Hamatrya.txt"
LEW = "countries/Lewkina.txt"
ZAR = "countries/Zaregoe.txt"
RYO = "countries/Ryoleg.txt"
CRO = "countries/Croala Animal State.txt"
TOT = "countries/Totoar.txt"
ROO = "countries/Roto.txt"
DIN = "countries/Dinal Cropelina.txt"
